word,14th,15th,total
"我們",86,75,161
"台灣",37,45,82
"國家",32,27,59
"政府",37,14,51
"發展",20,26,46
"經濟",27,17,44
"社會",21,22,43
"產業",3,38,41
"人民",17,18,35
"未來",15,20,35
"民主",23,9,32
"改革",16,12,28
"全球",8,18,26
"國際",4,21,25
"就是",18,5,23
"兩岸",14,9,23
"過去",9,14,23
"區域",18,4,22
"以及",8,14,22
"參與",12,7,19
"和平",11,8,19
"共同",14,3,17
"議題",14,3,17
"司法",13,4,17
"責任",10,7,17
"必須",10,7,17
"積極",10,7,17
"穩定",5,11,16
"關係",9,6,15
"安全",5,10,15
"可以",5,10,15
"持續",4,11,15
"四年",0,15,15
"合作",10,4,14
"問題",8,6,14
"打造",8,5,13
"改變",7,6,13
"世界",4,9,13
"推動",8,4,12
"這是",6,6,12
"重要",5,7,12
"強化",4,8,12
"制度",3,9,12
"承擔",8,3,11
"沒有",8,3,11
"已經",7,4,11
"需要",7,4,11
"團結",7,4,11
"相關",6,5,11
"因為",5,6,11
"不會",3,8,11
"成為",3,8,11
"你們",0,11,11
"疫情",0,11,11
"年輕人",9,1,10
"一起",8,2,10
"模式",8,2,10
"歷史",8,2,10
"這一",5,5,10
"維持",2,8,10
"挑戰",1,9,10
"防疫",0,10,10
"對立",8,1,9
"正義",8,1,9
"總統",7,2,9
"大家",6,3,9
"機制",6,3,9
"自由",6,3,9
"面對",6,3,9
"努力",6,3,9
"中華民國",5,4,9
"價值",5,4,9
"關鍵",5,4,9
"照顧",5,4,9
"基礎",4,5,9
"國人",3,6,9
"能源",3,6,9
"安全網",3,6,9
"能力",2,7,9
"謝謝",2,7,9
"全力",1,8,9
"現在",5,3,8
"應該",5,3,8
"建立",5,3,8
"體系",4,4,8
"同胞",3,5,8
"所有",3,5,8
"能夠",2,6,8
"需求",1,7,8
"體制",1,7,8
"生活",5,2,7
"轉型",5,2,7
"精神",5,2,7
"台灣人",4,3,7
"今天",4,3,7
"環境",4,3,7
"他們",4,3,7
"對話",4,3,7
"政策",3,4,7
"目標",3,4,7
